reach_name,reach_length_m,drainage_ha,currentflow_cfs,lowflow_2040_cfs,lowflow_2080_cfs,system_id
UM2,1506.93,602582.68,75,75,75,IRRIGATED
UM21,1576.43,332798.08,562.08,515.68,492.04,IRRIGATED
UM23,6404.15,328656.04,557.62,511.48,487.76,IRRIGATED
UM25,1541.07,322359.6,549.8,503.87,480.21,IRRIGATED
UM26,6666.89,317709.72,546.61,500.82,476.95,IRRIGATED
UM27,4165.09,313889.43,543.14,497.52,473.56,IRRIGATED
UM28,13245.08,307875.29,532.78,487.66,463.67,IRRIGATED
UM29,1178.36,221164.9,403.38,369.13,349.44,IRRIGATED
UM31,2537.16,220684.56,403.38,369.13,349.44,IRRIGATED
UM32,2143.96,168522.05,309.66,283.08,267,URBAN
UM33,4622.9,166337.9,308.22,281.7,265.63,URBAN
UM34,7229.55,113269.92,240.41,216.93,203.81,DRYLAND
UM35,3344.57,110478.07,234.32,211.36,198.45,DRYLAND
UM36,2716.07,108729.22,234.01,211.07,198.16,DRYLAND
UM37,1531.32,107411.71,232.39,209.38,196.71,DRYLAND
UM38,4077.92,105593.78,229.6,206.72,194,DRYLAND
UM39,1299.06,102250.84,225.04,202.48,189.91,DRYLAND
UM4,2282.34,602579.6,75,75,75,IRRIGATED
UM40,8248.19,100396.12,220.45,198.15,185.56,DRYLAND
UM41,5649.77,93405.63,209.93,188.45,176.3,NONAG
UM42,3354.32,81958.91,133.83,120.41,111.91,NONAG
UM43,1977.85,35141.3,133.83,120.41,111.91,NONAG
UM44,917.14,35141.3,78.43,70.81,65.23,NONAG
UM45,1913.23,34238.45,78.43,70.81,65.23,NONAG
UM46,641.6,30438.75,69.36,63.12,57.85,NONAG
UM47,3023.92,29954.27,67.41,61.31,56.17,NONAG
UM48,815.64,28716.06,65.93,60.07,55,NONAG
UM49,2528.93,27451.25,63.38,57.65,52.85,NONAG
UM50,351.43,27436.3,63.38,57.65,52.85,NONAG
UM51,1207.31,26312.69,60.87,55.37,50.74,NONAG
UM52,2624.02,24675.79,57.45,52.15,47.7,NONAG
UM53,1165.86,23754.94,55.57,50.35,46.09,NONAG
UM6,2580.44,599030.04,75,75,75,IRRIGATED
UM7,5694.27,595172.98,75,75,75,IRRIGATED
UM8,1867.2,594458.7,75,75,75,IRRIGATED
W Spring Cr1,153.01,3230.3,3.76,3.62,3.52,DRYLAND
W Spring Cr3,336.8,3230.3,3.76,3.62,3.52,DRYLAND
W Spring Cr5,1605.38,2924.24,3.19,3.07,2.98,DRYLAND
Westgate Cr1,685.19,2045.8,3.76,3.45,3.28,NONAG
Westgate Cr2,2643.84,879.28,1.59,1.46,1.39,NONAG
Westgate WF Cr,3556.1,595.68,0.95,0.88,0.83,NONAG
Whitman Spring,1046.07,268.6,0.66,0.6,0.56,NONAG
Wildhorse Cr1,306.32,50603,65.52,62.33,60.03,DRYLAND
Wildhorse Cr10,378.56,6824.5,11.67,10.82,10.27,DRYLAND
Wildhorse Cr11,6136.23,5751.29,9.66,8.86,8.41,DRYLAND
Wildhorse Cr12,2991.61,3981.3,7.61,6.98,6.59,DRYLAND
Wildhorse Cr13,8210.7,2546.75,3.67,3.31,3.11,NONAG
Wildhorse Cr3,7758.07,48611.44,62.77,59.66,57.45,DRYLAND
Wildhorse Cr4,5393.44,42220.03,54.79,51.99,50.04,DRYLAND
Wildhorse Cr5,1131.42,38225.43,54.79,51.99,50.04,DRYLAND
Wildhorse Cr6,6536.13,26741.37,31.74,29.9,28.6,DRYLAND
Wildhorse Cr7,1491.08,15296.6,22.17,20.85,19.9,DRYLAND
Wildhorse Cr8,6390.74,10896.57,16.05,14.99,14.26,DRYLAND
Willow Spr Canyon,2830.68,1880.31,3.55,3.22,3.05,NONAG
Wood Hollow Trib,1457.25,401.8,0.82,0.74,0.69,NONAG
Wood Hollow1,1612.09,3263.21,6.47,5.84,5.44,NONAG
Wood Hollow2,391.67,2737.85,5.46,4.93,4.59,NONAG
Wood Hollow3,2327.76,2272.82,4.49,4.05,3.76,NONAG
Wood Hollow4,3978.55,826.69,1.51,1.36,1.26,NONAG
Woodward Cr,1434.69,697,1.79,1.56,1.4,NONAG
